id,Country,TotalCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases, TotalCases/1MPopulation,Deaths/1MPopulation,TotalTests,Tests/1MPopulation,Population
52,Ireland,1663653.00,7905.00,,1648405.00,7343.00,13.00,331392.00,1575.00,12708583.00,2531490.00,5020199.00
53,Pakistan,1572598.00,30616.00,3,1536924.00,5058.00,47.00,6853.00,133.00,30477451.00,132806.00,229488994.00
54,Norway,1462318.00,4098.00,,1457108.00,1112.00,20.00,265327.00,744.00,11002430.00,1996315.00,5511370.00
55,Kazakhstan,1393468.00,13690.00,,1378440.00,1338.00,24.00,72557.00,713.00,11575012.00,602707.00,19205043.00
56,Finland,1292940.00,5981.00,,1263711.00,23248.00,21.00,232754.00,1077.00,11505032.00,2071128.00,5554960.00
57,Morocco,1264935.00,16278.00,,1248543.00,114.00,293.00,33488.00,431.00,12577650.00,332982.00,37772756.00
58,Bulgaria,1258670.00,37714.00,,1211397.00,9559.00,43.00,183892.00,5510.00,10559171.00,1542702.00,6844597.00
59,Lithuania,1249134.00,9320.00,,1216151.00,23663.00,12.00,469298.00,3502.00,10174473.00,3822535.00,2661708.00
60,Croatia,1231575.00,16902.00,,1209524.00,5149.00,10.00,303397.00,4164.00,5225875.00,1287388.00,4059286.00
61,Lebanon,1215511.00,10674.00,,1087587.00,117250.00,74.00,181831.00,1597.00,4795578.00,717380.00,6684849.00
62,Slovenia,1181073.00,6820.00,,1145051.00,29202.00,22.00,568361.00,3282.00,2743244.00,1320115.00,2078034.00
63,Tunisia,1145686.00,29249.00,,N/A,N/A,99.00,95104.00,2428.00,4948208.00,410754.00,12046656.00
64,Guatemala,1123465.00,19789.00,,1102988.00,688.00,5.00,60453.00,1065.00,5884813.00,316660.00,18584039.00
65,Cuba,1111179.00,8530.00,,1102548.00,101.00,23.00,98285.00,754.00,14149157.00,1251512.00,11305652.00
66,Bolivia,1108195.00,22234.00,,1051789.00,34172.00,220.00,92406.00,1854.00,2705422.00,225590.00,11992656.00
67,Costa Rica,1072807.00,8913.00,,860711.00,203183.00,52.00,207012.00,1720.00,4659757.00,899158.00,5182354.00
68,UAE,1027031.00,2345.00,,1006369.00,18317.00,,101870.00,233.00,190586733.00,18904066.00,10081785.00
69,Ecuador,1003778.00,35894.00,,964320.00,3564.00,759.00,55416.00,1982.00,3082403.00,170173.00,18113361.00
70,Nepal,999712.00,12018.00,,986617.00,1077.00,,33075.00,398.00,5936702.00,196413.00,30225582.00
71,Belarus,994037.00,7118.00,,985592.00,1327.00,,105381.00,755.00,13646641.00,1446722.00,9432800.00
72,Panama,986866.00,8497.00,,976873.00,1496.00,16.00,221919.00,1911.00,7062027.00,1588056.00,4446964.00
73,Uruguay,985422.00,7485.00,,976760.00,1177.00,18.00,281870.00,2141.00,6114822.00,1749083.00,3496016.00
74,Mongolia,982864.00,2179.00,,979439.00,1246.00,192.00,290954.00,645.00,4030048.00,1193000.00,3378078.00
75,Latvia,929051.00,5990.00,,891237.00,31824.00,5.00,502506.00,3240.00,7650009.00,4137741.00,1848837.00
76,Azerbaijan,821162.00,9910.00,,810181.00,1071.00,,79723.00,962.00,7245111.00,703395.00,10300205.00
77,Saudi Arabia,816389.00,9351.00,,803546.00,3492.00,32.00,22776.00,261.00,44321147.00,1236470.00,35844909.00
78,Paraguay,716059.00,19583.00,,696110.00,366.00,7.00,98012.00,2680.00,2657506.00,363751.00,7305843.00
79,Bahrain,680271.00,1520.00,,675724.00,3027.00,2.00,381321.00,852.00,10376306.00,5816370.00,1783983.00
80,Sri Lanka,670763.00,16761.00,,653779.00,223.00,,31089.00,777.00,6486117.00,300619.00,21575842.00
81,Kuwait,658520.00,2563.00,,655316.00,641.00,3.00,150336.00,585.00,8365279.00,1909739.00,4380326.00
82,Dominican Republic,644016.00,4384.00,,638911.00,721.00,4.00,58248.00,397.00,3657057.00,330765.00,11056370.00
83,Myanmar,622802.00,19458.00,,597898.00,5446.00,,11277.00,352.00,9056450.00,163985.00,55227143.00
84,Palestine,620548.00,5403.00,,608749.00,6396.00,17.00,116087.00,1011.00,3078533.00,575907.00,5345541.00
85,Estonia,601869.00,2681.00,,524990.00,74198.00,4.00,455303.00,2028.00,3536858.00,2675566.00,1321910.00
86,Moldova,589388.00,11844.00,,504142.00,73402.00,49.00,146863.00,2951.00,3216305.00,801437.00,4013171.00
87,Cyprus,585313.00,1180.00,,578452.00,5681.00,60.00,478437.00,965.00,9640118.00,7879860.00,1223387.00
88,Venezuela,544687.00,5814.00,,538033.00,840.00,36.00,18611.00,199.00,3359014.00,114771.00,29266991.00
